,time,dB
245,1451565000.0,53.61
246,1451565300.0,54.64
247,1451565600.0,54.83
248,1451565900.0,55.34
249,1451566200.0,54.87
250,1451566500.0,53.26
251,1451566800.0,54.14
252,1451567100.0,54.94
253,1451567400.0,54.81
254,1451567700.0,55.02
255,1451568000.0,54.17
256,1451568300.0,54.0
257,1451568600.0,53.21
258,1451568900.0,53.16
259,1451569200.0,54.18
260,1451569500.0,52.42
261,1451569800.0,55.16
262,1451570100.0,53.98
263,1451570400.0,54.07
264,1451570700.0,53.16
265,1451571000.0,52.21
266,1451571300.0,53.03
267,1451571600.0,54.57
268,1451571900.0,52.28
269,1451572200.0,51.14
270,1451572500.0,51.71
271,1451572800.0,52.69
272,1451573100.0,51.24
273,1451573400.0,50.67
274,1451573700.0,52.09
275,1451574000.0,50.68
276,1451574300.0,51.07
277,1451574600.0,50.41
278,1451574900.0,50.35
279,1451575200.0,50.24
280,1451575500.0,48.55
281,1451575800.0,49.97
282,1451576100.0,50.25
283,1451576400.0,49.39
284,1451576700.0,48.78
285,1451577000.0,48.08
286,1451577300.0,47.91
